,user_id,song_id,play_count,title,release,artist,year
200,6958,447,1,Daisy And Prudence,Distillation,Erin McKeown,2000
202,6958,512,1,The Ballad of Michael Valentine,Sawdust,The Killers,2004
203,6958,549,1,I Stand Corrected (Album),Vampire Weekend,Vampire Weekend,2007
204,6958,703,1,They Might Follow You,Tiny Vipers,Tiny Vipers,2007
205,6958,719,1,Monkey Man,You Know I'm No Good,Amy Winehouse,2007
206,6958,892,1,Bleeding Hearts,Hell Train,Soltero,0
209,6958,1050,5,Wet Blanket,Old World Underground_ Where Are You Now?,Metric,2003
213,6958,1480,1,Fast As I Can,Monday Morning Cold,Erin McKeown,2000
215,6958,1671,2,Sleeping In (Album),Give Up,Postal Service,2003
216,6958,1752,1,Gimme Sympathy,Gimme Sympathy,Metric,2009
217,6958,1756,1,You Mustn't Kick It Around,Distillation,Erin McKeown,2000
218,6958,1787,2,Help I'm Alive,Fantasies,Metric,2009
219,6958,1818,1,Teenager,Modapop,Camera Obscura,0
221,6958,2107,1,Stadium Love,Fantasies,Metric,2009
225,6958,2289,1,Satellite Mind,Fantasies,Metric,2009
226,6958,2304,1,Daddy's Eyes,Sawdust,The Killers,2006
227,6958,2425,1,Señorita,Justified,Justin Timberlake,2002
228,6958,2501,1,Camaro,Because Of The Times,Kings Of Leon,2007
232,6958,2701,1,Tron,Antidotes,Foals,2008
235,6958,2898,1,Twilight Galaxy,Fantasies,Metric,2009
237,6958,2994,1,Elephant Gun,The Gulag Orkestar,Beirut,2006
239,6958,3074,1,Catch You Baby (Steve Pitron & Max Sanna Radio Edit),Catch You Baby,Lonnie Gordon,0
244,6958,3491,1,Bling (Confession Of A King),Sam's Town,The Killers,2006
246,6958,3551,1,You're A Cad,Ray Guns Are Not Just The Future,the bird and the bee,2009
247,6958,3718,2,The Penalty,The Flying Club Cup,Beirut,2007
249,6958,3801,1,Baby,Ray Guns Are Not Just The Future,the bird and the bee,2009
251,6958,3907,1,What's In The Middle,Ray Guns Are Not Just The Future,the bird and the bee,2009
262,6958,5193,1,Goodnight Bad Morning,Midnight Boom,The Kills,2008
264,6958,5340,1,Postcards From Italy,The Gulag Orkestar,Beirut,2005
267,6958,5441,1,Where The White Boys Dance,Sam's Town,The Killers,2006
269,6958,5566,5,The Bachelor and the Bride,Her Majesty The Decemberists,The Decemberists,2003
271,6958,5894,1,Caring Is Creepy,Garden State - Music From The Motion Picture,The Shins,2001
272,6958,6305,1,Rhode Island Is Famous For You,Sing You Sinners,Erin McKeown,2007
280,6958,7738,1,Nantes,The Flying Club Cup,Beirut,2007
281,6958,8029,1,I CAN'T GET STARTED,It's The Time,Ron Carter,0
282,6958,8037,1,Gold Guns Girls,Fantasies,Metric,2009
286,6958,8425,1,Love Letter To Japan,Ray Guns Are Not Just The Future,the bird and the bee,2009
290,6958,9065,1,Balloons (Single version),Balloons,Foals,2007
293,6958,9351,2,The Police And The Private,Live It Out,Metric,2005
351,27018,97,1,Harder Better Faster Stronger,Discovery,Daft Punk,2007
352,27018,122,3,Phantom Part 1.5 (Album Version),A Cross The Universe,Justice,0
353,27018,139,1,I Got Mine,Attack & Release,The Black Keys,2008
376,27018,693,2,Us V Them,Sound Of Silver,LCD Soundsystem,2007
377,27018,719,1,Monkey Man,You Know I'm No Good,Amy Winehouse,2007
378,27018,765,4,Love,Attack Decay Sustain Release,Simian Mobile Disco,2007
380,27018,786,4,TTHHEE PPAARRTTYY,Justice,Justice,0
383,27018,861,1,Newjack,Justice,Justice,0
396,27018,1118,2,Clocks,A Rush Of Blood To The Head,Coldplay,2002
404,27018,1406,3,Hustler,Hustler,Simian Mobile Disco,2006
408,27018,1461,5,Arcade Robot,Oi Oi oi,Boys Noize,2007
410,27018,1519,4,Deny Selected,Oi Oi oi,Boys Noize,2007
418,27018,1682,3,Tuxedo Hat,One Ten Hundred Thousand Million,Octopus Project,2005
419,27018,1696,3,Tribulations,LCD Soundsystem,LCD Soundsystem,2005
428,27018,1907,2,Strawberry Swing,Viva La Vida - Prospekt's March Edition,Coldplay,2008
433,27018,1983,2,God Put A Smile Upon Your Face,A Rush Of Blood To The Head,Coldplay,2002
439,27018,2187,2,Brothers & Sisters,Trouble (B-Side),Coldplay,1999
